threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,5586812928.0,66955010,0.0,0.0,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.1,5427074743.21773,65040632,2.859200528832717,2.859200528832717,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.2,5270905259.300676,63169023,5.65452383622973,5.654523836229719,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.3,5121120620.049281,61373933,8.33556293995027,8.33556293995028,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.4,4979245214.5328865,59673631,10.875032353814895,10.875032353814895,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.5,4845798214.506347,58074339,13.26363927060873,13.26363927060873,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.6,4720288317.60827,56570169,15.510177655114976,15.510177655114965,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.7,4602429987.717613,55157699,17.619758401947816,17.619758401947816,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.8,4491344337.644748,53826396,19.608112970186998,19.60811297018701,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
0.9,4386016053.678155,52564092,21.493414757163055,21.493414757163055,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
1.0,4286106113.8249083,51366724,23.281732016767677,23.281732016767677,0.996,0.995999935998976,0.996031746031746,0.996,1.0,0.9960159362549801,0.9920634920634921,1.0,0.992,0.9959839357429718,1.0,0.992
1.1,4191277999.3310184,50230259,24.979088196686106,24.979088196686106,0.997,0.996999972999757,0.9970178926441351,0.997,1.0,0.9970089730807578,0.9940357852882704,1.0,0.994,0.9969909729187563,1.0,0.994
1.2,4100673850.2138977,49144416,26.600838383864033,26.600838383864033,0.997,0.996999972999757,0.9970178926441351,0.997,1.0,0.9970089730807578,0.9940357852882704,1.0,0.994,0.9969909729187563,1.0,0.994
1.3,4014232921.208755,48108467,28.14806987557764,28.14806987557764,0.997,0.996999972999757,0.9970178926441351,0.997,1.0,0.9970089730807578,0.9940357852882704,1.0,0.994,0.9969909729187563,1.0,0.994
1.4,3931744189.2734756,47119883,29.62455983502952,29.62455983502952,0.996,0.9959999839999361,0.996007936126978,0.996,0.998,0.9960079840319361,0.9940239043824701,0.998,0.994,0.9959919839679359,0.9979919678714859,0.994
1.5,3852892830.3914948,46174891,31.035943389449127,31.035943389449127,0.995,0.994999954999595,0.9950178206415431,0.995,0.998,0.9950149551345963,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653923,0.992
1.6,3776980607.7829,45265123,32.39471848335174,32.39471848335174,0.992,0.9919997119896315,0.9920708582035813,0.992,0.998,0.9920477137176938,0.9861660079051383,0.998,0.986,0.9919517102615694,0.9979757085020243,0.986
1.7,3704047823.5945234,44391062,33.700163736813714,33.700163736813714,0.99,0.9899993599590373,0.9901254721208629,0.99,0.998,0.9900793650793651,0.9822834645669292,0.998,0.982,0.9899193548387096,0.9979674796747967,0.982
1.8,3633984502.1958766,43551390,34.95424763583785,34.95424763583785,0.99,0.9899993599590373,0.9901254721208629,0.99,0.998,0.9900793650793651,0.9822834645669292,0.998,0.982,0.9899193548387096,0.9979674796747967,0.982
1.9,3566407314.264908,42741513,36.16383150416974,36.16383150416974,0.989,0.9889991089278232,0.9891584873499014,0.989,0.998,0.9890981169474727,0.9803536345776032,0.998,0.98,0.9889001009081736,0.9979633401221996,0.98
2.0,3501096809.1884284,41958801,37.33284335257362,37.33284335257362,0.989,0.9889991089278232,0.9891584873499014,0.989,0.998,0.9890981169474727,0.9803536345776032,0.998,0.98,0.9889001009081736,0.9979633401221996,0.98
2.1,3437817265.3001785,41200429,38.46550243215556,38.46550243215556,0.986,0.9859979837096542,0.9862800973360656,0.986,0.998,0.9861660079051383,0.974609375,0.998,0.974,0.9858299595141701,0.9979508196721312,0.974
2.2,3376554914.7860227,40466232,39.56205517705098,39.56205517705098,0.979,0.9789924162622707,0.9796926762244682,0.979,0.998,0.9793915603532876,0.9614643545279383,0.998,0.96,0.9785932721712538,0.997920997920998,0.96
2.3,3316762633.0563464,39749653,40.6322947304466,40.6322947304466,0.98,0.9799935178997996,0.9806228872618915,0.98,0.998,0.9803536345776032,0.9633204633204633,0.998,0.962,0.9796334012219959,0.9979253112033195,0.962
2.4,3258612893.2736826,39052759,41.673133944719,41.673133944719,0.964,0.9639583358362267,0.9661555030460851,0.964,0.998,0.965183752417795,0.9344569288389513,0.998,0.93,0.9627329192546584,0.9978540772532188,0.93
2.5,3201775768.546567,38371596,42.690478277876444,42.690478277876444,0.959,0.9589375440044308,0.9618096499100527,0.959,0.998,0.960538979788258,0.9257884972170687,0.998,0.92,0.9573361082206036,0.9978308026030369,0.92
2.6,3146159890.6539187,37705069,43.685963156453866,43.685963156453866,0.954,0.953910771253146,0.9575432146542828,0.954,0.998,0.9559386973180076,0.9172794117647058,0.998,0.91,0.9518828451882845,0.9978070175438597,0.91
2.7,3091660957.973499,37051928,44.66145550571944,44.66145550571944,0.959,0.9589375440044308,0.9618096499100527,0.959,0.998,0.960538979788258,0.9257884972170687,0.998,0.92,0.9573361082206036,0.9978308026030369,0.92
2.8,3038224066.1313605,36411515,45.61793807513433,45.61793807513433,0.959,0.9589375440044308,0.9618096499100527,0.959,0.998,0.960538979788258,0.9257884972170687,0.998,0.92,0.9573361082206036,0.9978308026030369,0.92
2.9,2985880755.93807,35784208,46.55484630649745,46.55484630649745,0.957,0.9569275952876787,0.9600936698359771,0.957,0.998,0.9586935638808838,0.922365988909427,0.998,0.916,0.9551616266944735,0.9978213507625272,0.916
3.0,2934294174.874444,35165970,47.4782096216549,47.4782096216549,0.958,0.9579326923076924,0.960950080515298,0.958,0.998,0.9596153846153846,0.924074074074074,0.998,0.918,0.95625,0.9978260869565218,0.918
