threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.0,11173537400.80356,97644285,0.0,0.0,0.433,0.4060532289439585,0.4181453445470139,0.433,0.646,0.5325638911788954,0.453015427769986,0.646,0.22,0.2795425667090216,0.3832752613240418,0.22,HJOK_task2_deberta_spamMLM_v1,0.433,0.4060532289439585,0.646,0.5325638911788954,0.22,0.2795425667090216
0.1,10915394012.35078,95388399,2.3103103269177527,2.3103103269177527,0.436,0.4056426015149791,0.4195672719229454,0.436,0.662,0.5399673735725938,0.4559228650137741,0.662,0.21,0.2713178294573643,0.3832116788321167,0.21,HJOK_task2_deberta_spamMLM_v1,0.436,0.4056426015149791,0.662,0.5399673735725938,0.21,0.2713178294573643
0.2,10658307051.289362,93141745,4.6111659274272965,4.611165927427285,0.439,0.4143897283332028,0.4266738790720038,0.439,0.644,0.5344398340248963,0.4567375886524822,0.644,0.234,0.2943396226415094,0.3966101694915254,0.234,HJOK_task2_deberta_spamMLM_v1,0.439,0.4143897283332028,0.644,0.5344398340248963,0.234,0.2943396226415094
0.3,10403794102.115004,90917585,6.888984849446134,6.888984849446134,0.428,0.392417540863107,0.4059737980317182,0.428,0.67,0.5394524959742351,0.4514824797843665,0.67,0.186,0.2453825857519788,0.3604651162790697,0.186,HJOK_task2_deberta_spamMLM_v1,0.428,0.392417540863107,0.67,0.5394524959742351,0.186,0.2453825857519788
0.4,10153573461.373287,88730935,9.128388824804237,9.128388824804222,0.433,0.3873389873912851,0.4045426309760587,0.433,0.706,0.5545954438334643,0.4566623544631306,0.706,0.16,0.2200825309491059,0.3524229074889868,0.16,HJOK_task2_deberta_spamMLM_v1,0.433,0.3873389873912851,0.706,0.5545954438334643,0.16,0.2200825309491059
0.5,9908227354.212303,86586883,11.324167103072137,11.324167103072124,0.423,0.3742944546439388,0.3881847594374967,0.423,0.702,0.5488663017982799,0.4505776636713735,0.702,0.144,0.1997226074895977,0.3257918552036199,0.144,HJOK_task2_deberta_spamMLM_v1,0.423,0.3742944546439388,0.702,0.5488663017982799,0.144,0.1997226074895977
0.6000000000000001,9668884185.14963,84495290,13.466220782916272,13.46622078291626,0.428,0.4041666666666667,0.4142857142857142,0.428,0.628,0.5233333333333333,0.4485714285714285,0.628,0.228,0.285,0.38,0.228,HJOK_task2_deberta_spamMLM_v1,0.428,0.4041666666666667,0.628,0.5233333333333333,0.228,0.285
0.7000000000000001,9436816999.54152,82467281,15.543156468399555,15.543156468399545,0.424,0.3900269404767956,0.4022150856389986,0.424,0.66,0.5339805825242718,0.4483695652173913,0.66,0.188,0.2460732984293193,0.3560606060606061,0.188,HJOK_task2_deberta_spamMLM_v1,0.424,0.3900269404767956,0.66,0.5339805825242718,0.188,0.2460732984293193
0.8,9212228225.903496,80504625,17.5531624815523,17.5531624815523,0.454,0.3967757331494935,0.4258714933993399,0.454,0.762,0.5825688073394495,0.4715346534653465,0.762,0.146,0.2109826589595375,0.3802083333333333,0.146,HJOK_task2_deberta_spamMLM_v1,0.454,0.3967757331494935,0.762,0.5825688073394495,0.146,0.2109826589595375
0.9,8995511621.455416,78610763,19.492714806606447,19.492714806606447,0.454,0.3816786631575609,0.4135572326287621,0.454,0.796,0.5931445603576752,0.4726840855106888,0.796,0.112,0.1702127659574468,0.3544303797468354,0.112,HJOK_task2_deberta_spamMLM_v1,0.454,0.3816786631575609,0.796,0.5931445603576752,0.112,0.1702127659574468
1.0,8787745355.48686,76795117,21.35216413331308,21.35216413331308,0.469,0.3505945545335471,0.3854753143887337,0.469,0.896,0.6278906797477225,0.4832793959007551,0.896,0.042,0.0732984293193717,0.2876712328767123,0.042,HJOK_task2_deberta_spamMLM_v1,0.4619,0.36535356235891786,0.8278000000000001,0.6012282552411048,0.096,0.12947886947673104
1.1,8589025321.212082,75058525,23.130652244522043,23.130652244522043,0.481,0.3424711681842196,0.3791932653424553,0.481,0.94,0.6442769019876627,0.4900938477580813,0.94,0.022,0.0406654343807763,0.2682926829268293,0.022,HJOK_task2_deberta_spamMLM_v1,0.4649,0.3615612826933676,0.8448,0.6076208242454553,0.08499999999999999,0.11550174114127995
